20180613181720 mid fteth 5.0 jILRa_WdbjifjdzYPwHP3wO9NRXKoUT-cFRhe-4L-sk= 0.00178202 Rw_ThNVASOgHhV0FQVrZwoOscIrhyQz2iGiPMSKmdTY= 0.00178648
20180613181839 mid fteth 5.0 DZYnfn2RLrfZgiYS7_WWwRw6ZBML9b0XLyoShvR4Phs= 0.00177943 tRIvFnmXtB4ziOg9_CRyBzXRC_Gl-1HlKjNgDAFgSb8= 0.00178388
20180613181844 mid fteth 5.0 eWQ1AHlq1YCezd8pPB7g_VQcBE3iM7PimLx_Ziy_3WY= 0.00177835 l1ZoqIdCsKhmrnBywTRf0bHlAUM815vP8BNgHTGFtzo= 0.0017828
20180613181849 mid fteth 5.0 X4k-xVLAh_CGJ0HXz8twPjwoUQmBm4jmnG7npmzB1nI= 0.00177735 km1Regdn4K-3mxULwGbZGJQ4p-F3AbHpYoDt8pbb9JU= 0.0017818
20180613181858 mid fteth 5.0 RLyDnkaPjSF4eXhguruh2jAsKvT2W5cc4oPTyEm4yms= 0.00177718 MSfd3myOOnNLbks_NmU73x8hJRKklYAOHs3p0GABdWY= 0.00178163
20180613181939 mid fteth 5.0 -hpjv7Rk_05U9YXIet9tBiForyi_jocbG8efqJ0cmjE= 0.00176908 FA3QdttfDejf6iP2Vkqco8nI_j7Z-SMQvgRjxOCj2t4= 0.00177351
20180613181945 mid fteth 5.0 gdEh2HeiMMzYc4unJVG_nDuOnoGBTMlynNu8gy0rMw0= 0.00175679 WGFOW30HUQK4DXWnIuQ86oqc65ZWXLgpTaD7K4nfwqo= 0.00176119
20180613181957 mid fteth 5.0 YJNIgy5oCGAomdQPSISHUV-dJtYMhjXrtdqzvR9TuIw= 0.0017515 xQ9rCI0FAxcnS2yiUX-IIrM4os3g1oxSZg7IkIkYjSs= 0.00175588
20180613182015 mid fteth 5.0 UY0kC5vYQnVIcYmB7q4KDYRmUgjCtofzGj2mxLz_gM8= 0.00175486 YQjsWTxnyzon6LD6PUNNYvL-qWAY1oOjBnVK0zbjNyY= 0.00175925
20180613182039 mid fteth 5.0 Ub4QE-WIJeLIHsT-X1UED4dPIMy_duS5jolzFGxwlFI= 0.00174623 28qiRisSN3V7C9LxZ_Hmjfp-1yoRGHHbVqlIhRlwFWE= 0.0017506
